activity_description,label,duration_minutes,user_id
Reviewing course lecture slides,Wasting Time,36,19
Playing a video game,Utilizing Time for Knowledge Development,6,46
Reviewing course lecture slides,Wasting Time,81,15
Reading a scientific research paper,Wasting Time,47,90
Browsing Wikipedia for history facts,Wasting Time,119,90
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,26,8
Playing a video game,Utilizing Time for Knowledge Development,65,74
Taking notes from a lecture video,Utilizing Time for Knowledge Development,96,69
Scrolling through social media feeds,Utilizing Time for Knowledge Development,24,46
Listening to an audiobook on a relevant topic,Wasting Time,65,19
Watching TV shows,Utilizing Time for Knowledge Development,87,79
Online shopping,Utilizing Time for Knowledge Development,59,80
Coding a personal project,Utilizing Time for Knowledge Development,99,33
Chatting with friends on messaging apps,Wasting Time,75,73
Reviewing course lecture slides,Utilizing Time for Knowledge Development,64,90
Participating in an online quiz,Utilizing Time for Knowledge Development,79,83
Online shopping,Wasting Time,89,66
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,105,24
Reading a scientific research paper,Wasting Time,110,15
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,96,60
Online shopping,Utilizing Time for Knowledge Development,74,12
Playing online crossword puzzles,Wasting Time,8,83
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,104,20
Playing online crossword puzzles,Utilizing Time for Knowledge Development,118,13
Playing online crossword puzzles,Utilizing Time for Knowledge Development,113,13
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,116,95
Reading a scientific research paper,Utilizing Time for Knowledge Development,13,55
Playing a video game,Wasting Time,109,54
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,115,69
Reading a scientific research paper,Utilizing Time for Knowledge Development,112,83
Watching TV shows,Wasting Time,70,86
Coding a personal project,Utilizing Time for Knowledge Development,71,98
Solving programming exercises,Utilizing Time for Knowledge Development,24,52
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,107,14
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,117,90
Reading a scientific research paper,Utilizing Time for Knowledge Development,80,50
Participating in an online quiz,Wasting Time,24,57
Writing an essay for a class assignment,Wasting Time,117,29
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,50,11
Listening to an audiobook on a relevant topic,Wasting Time,14,3
Playing online crossword puzzles,Utilizing Time for Knowledge Development,16,33
Watching TV shows,Wasting Time,28,47
Browsing Wikipedia for history facts,Wasting Time,50,2
Online shopping,Utilizing Time for Knowledge Development,7,77
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,36,70
Playing a video game,Utilizing Time for Knowledge Development,87,64
Checking email,Utilizing Time for Knowledge Development,111,95
Watching Khan Academy math tutorial,Wasting Time,87,27
Checking email,Wasting Time,75,26
Reading a scientific research paper,Wasting Time,14,43
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,120,17
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,8,86
Checking email,Utilizing Time for Knowledge Development,114,68
Reading a scientific research paper,Utilizing Time for Knowledge Development,117,9
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,105,32
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,36,30
Playing a video game,Utilizing Time for Knowledge Development,88,15
Taking notes from a lecture video,Wasting Time,84,30
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,80,40
Reviewing course lecture slides,Utilizing Time for Knowledge Development,66,2
Scrolling through social media feeds,Wasting Time,40,25
Checking email,Wasting Time,62,83
Reviewing course lecture slides,Wasting Time,66,23
Solving programming exercises,Wasting Time,63,94
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,22,82
Writing an essay for a class assignment,Wasting Time,108,37
Scrolling through social media feeds,Utilizing Time for Knowledge Development,72,38
Writing an essay for a class assignment,Wasting Time,120,79
Reviewing course lecture slides,Utilizing Time for Knowledge Development,52,32
Taking notes from a lecture video,Utilizing Time for Knowledge Development,49,1
Participating in an online quiz,Utilizing Time for Knowledge Development,67,2
Checking email,Wasting Time,111,4
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,54,6
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,38,3
Chatting with friends on messaging apps,Wasting Time,44,10
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,24,60
Participating in a group discussion on the course forum,Wasting Time,65,49
Scrolling through social media feeds,Utilizing Time for Knowledge Development,106,31
Playing online crossword puzzles,Wasting Time,66,31
Taking notes from a lecture video,Utilizing Time for Knowledge Development,57,28
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,68,47
Chatting with friends on messaging apps,Wasting Time,80,36
Watching TV shows,Utilizing Time for Knowledge Development,74,74
Playing a video game,Wasting Time,36,69
Coding a personal project,Utilizing Time for Knowledge Development,115,83
Playing a video game,Wasting Time,93,41
Checking email,Utilizing Time for Knowledge Development,70,21
Online shopping,Utilizing Time for Knowledge Development,70,51
Browsing Wikipedia for history facts,Wasting Time,119,67
Playing a video game,Wasting Time,17,76
Solving programming exercises,Utilizing Time for Knowledge Development,73,83
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,91,51
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,69,56
Playing online crossword puzzles,Utilizing Time for Knowledge Development,61,69
Online shopping,Utilizing Time for Knowledge Development,100,40
Solving programming exercises,Wasting Time,103,90
Playing online crossword puzzles,Wasting Time,93,19
Online shopping,Wasting Time,88,82
Participating in an online quiz,Utilizing Time for Knowledge Development,77,41
Playing online crossword puzzles,Utilizing Time for Knowledge Development,16,24
Participating in an online quiz,Utilizing Time for Knowledge Development,31,85
Watching TV shows,Utilizing Time for Knowledge Development,85,60
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,43,54
Reading a scientific research paper,Wasting Time,60,79
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,9,89
Watching cat videos on YouTube,Wasting Time,120,85
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,112,96
Taking notes from a lecture video,Utilizing Time for Knowledge Development,11,23
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,46,23
Taking notes from a lecture video,Wasting Time,34,44
Taking notes from a lecture video,Wasting Time,60,30
Coding a personal project,Utilizing Time for Knowledge Development,22,30
Online shopping,Utilizing Time for Knowledge Development,100,4
Chatting with friends on messaging apps,Wasting Time,18,62
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,84,49
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,27,97
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,64,61
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,25,8
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,56,77
Participating in an online quiz,Utilizing Time for Knowledge Development,22,71
Coding a personal project,Utilizing Time for Knowledge Development,29,90
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,98,6
Chatting with friends on messaging apps,Wasting Time,45,55
Scrolling through social media feeds,Utilizing Time for Knowledge Development,79,62
Playing online crossword puzzles,Utilizing Time for Knowledge Development,27,48
Taking notes from a lecture video,Utilizing Time for Knowledge Development,64,6
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,47,15
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,65,85
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,29,74
Playing a video game,Wasting Time,89,71
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,11,68
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,33,65
Online shopping,Wasting Time,60,51
Online shopping,Wasting Time,43,93
Reading a scientific research paper,Utilizing Time for Knowledge Development,108,29
Coding a personal project,Utilizing Time for Knowledge Development,85,34
Checking email,Utilizing Time for Knowledge Development,23,48
Taking notes from a lecture video,Wasting Time,101,89
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,113,13
Reviewing course lecture slides,Utilizing Time for Knowledge Development,49,92
Chatting with friends on messaging apps,Wasting Time,76,48
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,29,9
Listening to an audiobook on a relevant topic,Wasting Time,64,53
Scrolling through social media feeds,Utilizing Time for Knowledge Development,28,47
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,111,90
Watching TV shows,Utilizing Time for Knowledge Development,110,12
Taking notes from a lecture video,Utilizing Time for Knowledge Development,60,26
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,83,11
Scrolling through social media feeds,Wasting Time,101,60
Checking email,Utilizing Time for Knowledge Development,94,31
Taking notes from a lecture video,Wasting Time,11,8
Participating in an online quiz,Utilizing Time for Knowledge Development,59,12
Reading a scientific research paper,Wasting Time,71,44
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,30,53
Browsing Wikipedia for history facts,Wasting Time,92,31
Participating in an online quiz,Utilizing Time for Knowledge Development,39,27
Browsing Wikipedia for history facts,Wasting Time,81,66
Online shopping,Wasting Time,108,99
Participating in an online quiz,Utilizing Time for Knowledge Development,38,7
Participating in an online quiz,Wasting Time,88,92
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,73,92
Reading a scientific research paper,Utilizing Time for Knowledge Development,49,39
Taking notes from a lecture video,Wasting Time,117,92
Reading a scientific research paper,Utilizing Time for Knowledge Development,11,97
Solving programming exercises,Utilizing Time for Knowledge Development,88,88
Playing online crossword puzzles,Wasting Time,75,27
Reading a scientific research paper,Utilizing Time for Knowledge Development,17,28
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,52,37
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,88,69
Taking notes from a lecture video,Wasting Time,71,35
Playing a video game,Utilizing Time for Knowledge Development,6,86
Writing an essay for a class assignment,Wasting Time,57,41
Reading a scientific research paper,Utilizing Time for Knowledge Development,48,6
Reading a scientific research paper,Wasting Time,118,74
Playing a video game,Utilizing Time for Knowledge Development,95,40
Taking notes from a lecture video,Utilizing Time for Knowledge Development,33,81
Checking email,Utilizing Time for Knowledge Development,113,54
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,101,39
Watching TV shows,Wasting Time,50,12
Participating in a group discussion on the course forum,Wasting Time,95,72
Scrolling through social media feeds,Wasting Time,20,14
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,71,21
Solving programming exercises,Utilizing Time for Knowledge Development,86,63
Online shopping,Utilizing Time for Knowledge Development,60,99
Participating in an online quiz,Utilizing Time for Knowledge Development,53,65
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,18,96
Reviewing course lecture slides,Utilizing Time for Knowledge Development,7,36
Checking email,Utilizing Time for Knowledge Development,82,82
Watching TV shows,Utilizing Time for Knowledge Development,63,80
Writing an essay for a class assignment,Wasting Time,115,64
Solving programming exercises,Utilizing Time for Knowledge Development,24,63
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,40,14
Watching TV shows,Utilizing Time for Knowledge Development,112,3
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,70,28
Reading a scientific research paper,Utilizing Time for Knowledge Development,115,7
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,47,90
Participating in a group discussion on the course forum,Wasting Time,104,24
Playing a video game,Wasting Time,23,75
Browsing Wikipedia for history facts,Wasting Time,111,73
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,39,14
Participating in a group discussion on the course forum,Wasting Time,108,19
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,112,67
Solving programming exercises,Utilizing Time for Knowledge Development,18,26
Checking email,Wasting Time,112,98
Reviewing course lecture slides,Utilizing Time for Knowledge Development,58,91
Checking email,Utilizing Time for Knowledge Development,40,34
Watching TV shows,Utilizing Time for Knowledge Development,71,44
Playing online crossword puzzles,Wasting Time,13,41
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,101,59
Watching Khan Academy math tutorial,Wasting Time,7,53
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,101,72
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,96,71
Listening to an audiobook on a relevant topic,Wasting Time,106,9
Reviewing course lecture slides,Utilizing Time for Knowledge Development,43,3
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,79,29
Reviewing course lecture slides,Wasting Time,51,96
Taking notes from a lecture video,Wasting Time,18,48
Chatting with friends on messaging apps,Wasting Time,106,58
Coding a personal project,Wasting Time,52,5
Playing online crossword puzzles,Utilizing Time for Knowledge Development,13,24
Watching TV shows,Utilizing Time for Knowledge Development,34,18
Taking notes from a lecture video,Utilizing Time for Knowledge Development,48,7
Coding a personal project,Utilizing Time for Knowledge Development,53,62
Participating in a group discussion on the course forum,Wasting Time,88,43
Listening to an audiobook on a relevant topic,Wasting Time,55,54
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,118,59
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,56,97
Taking notes from a lecture video,Utilizing Time for Knowledge Development,72,16
Reviewing course lecture slides,Utilizing Time for Knowledge Development,76,38
Online shopping,Wasting Time,25,37
Reviewing course lecture slides,Utilizing Time for Knowledge Development,31,40
Playing a video game,Utilizing Time for Knowledge Development,108,55
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,105,92
Coding a personal project,Utilizing Time for Knowledge Development,36,30
Watching cat videos on YouTube,Wasting Time,96,35
Coding a personal project,Wasting Time,90,57
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,20,93
Listening to an audiobook on a relevant topic,Wasting Time,95,25
Scrolling through social media feeds,Utilizing Time for Knowledge Development,79,71
Reviewing course lecture slides,Utilizing Time for Knowledge Development,107,26
Scrolling through social media feeds,Utilizing Time for Knowledge Development,45,22
Coding a personal project,Utilizing Time for Knowledge Development,120,38
Taking notes from a lecture video,Utilizing Time for Knowledge Development,94,29
Scrolling through social media feeds,Utilizing Time for Knowledge Development,36,91
Taking notes from a lecture video,Utilizing Time for Knowledge Development,55,73
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,25,96
Scrolling through social media feeds,Utilizing Time for Knowledge Development,87,37
Checking email,Utilizing Time for Knowledge Development,5,32
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,38,15
Watching TV shows,Wasting Time,23,68
Coding a personal project,Utilizing Time for Knowledge Development,15,30
Checking email,Utilizing Time for Knowledge Development,70,9
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,74,99
Solving programming exercises,Utilizing Time for Knowledge Development,25,89
Coding a personal project,Utilizing Time for Knowledge Development,92,34
Taking notes from a lecture video,Wasting Time,18,71
Reviewing course lecture slides,Utilizing Time for Knowledge Development,39,100
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,13,67
Participating in an online quiz,Utilizing Time for Knowledge Development,117,48
Online shopping,Utilizing Time for Knowledge Development,7,38
Watching TV shows,Utilizing Time for Knowledge Development,72,91
Checking email,Wasting Time,112,64
Solving programming exercises,Wasting Time,115,93
Scrolling through social media feeds,Utilizing Time for Knowledge Development,19,96
Playing a video game,Utilizing Time for Knowledge Development,75,74
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,70,24
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,96,59
Chatting with friends on messaging apps,Wasting Time,65,46
Playing a video game,Utilizing Time for Knowledge Development,107,54
Watching TV shows,Utilizing Time for Knowledge Development,104,68
Solving programming exercises,Utilizing Time for Knowledge Development,47,9
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,79,20
Reading a scientific research paper,Wasting Time,87,24
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,23,61
Checking email,Utilizing Time for Knowledge Development,6,64
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,92,49
Participating in an online quiz,Wasting Time,21,22
Reading a scientific research paper,Wasting Time,16,81
Coding a personal project,Utilizing Time for Knowledge Development,17,67
Watching TV shows,Utilizing Time for Knowledge Development,20,54
Solving programming exercises,Utilizing Time for Knowledge Development,100,45
Playing online crossword puzzles,Wasting Time,75,92
Solving programming exercises,Utilizing Time for Knowledge Development,94,92
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,22,100
Online shopping,Wasting Time,115,10
Chatting with friends on messaging apps,Wasting Time,89,84
Watching Khan Academy math tutorial,Wasting Time,30,61
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,33,86
Playing a video game,Utilizing Time for Knowledge Development,61,22
Checking email,Wasting Time,7,19
Scrolling through social media feeds,Utilizing Time for Knowledge Development,27,95
Checking email,Utilizing Time for Knowledge Development,34,65
Taking notes from a lecture video,Utilizing Time for Knowledge Development,26,64
Reviewing course lecture slides,Utilizing Time for Knowledge Development,32,28
Playing online crossword puzzles,Utilizing Time for Knowledge Development,32,77
Taking notes from a lecture video,Utilizing Time for Knowledge Development,81,55
Taking notes from a lecture video,Utilizing Time for Knowledge Development,104,51
Playing a video game,Utilizing Time for Knowledge Development,118,4
Scrolling through social media feeds,Utilizing Time for Knowledge Development,90,6
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,65,84
Participating in a group discussion on the course forum,Wasting Time,100,70
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,99,44
Participating in an online quiz,Utilizing Time for Knowledge Development,87,57
Taking notes from a lecture video,Utilizing Time for Knowledge Development,94,62
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,92,68
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,51,84
Scrolling through social media feeds,Utilizing Time for Knowledge Development,32,5
Reading a scientific research paper,Utilizing Time for Knowledge Development,73,34
Browsing Wikipedia for history facts,Wasting Time,77,84
Playing a video game,Utilizing Time for Knowledge Development,40,74
Watching cat videos on YouTube,Wasting Time,100,85
Participating in an online quiz,Utilizing Time for Knowledge Development,32,95
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,55,74
Listening to an audiobook on a relevant topic,Wasting Time,103,1
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,22,17
Watching Khan Academy math tutorial,Wasting Time,31,92
Browsing Wikipedia for history facts,Wasting Time,75,43
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,20,74
Taking notes from a lecture video,Utilizing Time for Knowledge Development,20,1
Reviewing course lecture slides,Utilizing Time for Knowledge Development,25,45
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,85,66
Browsing Wikipedia for history facts,Wasting Time,114,3
Reading a scientific research paper,Utilizing Time for Knowledge Development,48,16
Reviewing course lecture slides,Utilizing Time for Knowledge Development,17,94
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,25,94
Chatting with friends on messaging apps,Wasting Time,8,8
Chatting with friends on messaging apps,Wasting Time,97,24
Reviewing course lecture slides,Wasting Time,79,64
Coding a personal project,Utilizing Time for Knowledge Development,60,73
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,17,65
Reading a scientific research paper,Utilizing Time for Knowledge Development,81,26
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,86,45
Reviewing course lecture slides,Utilizing Time for Knowledge Development,115,63
Playing a video game,Utilizing Time for Knowledge Development,120,54
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,55,41
Playing online crossword puzzles,Utilizing Time for Knowledge Development,109,69
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,51,47
Coding a personal project,Utilizing Time for Knowledge Development,57,45
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,54,73
Taking notes from a lecture video,Wasting Time,80,13
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,71,63
Watching TV shows,Utilizing Time for Knowledge Development,97,69
Scrolling through social media feeds,Utilizing Time for Knowledge Development,75,48
Scrolling through social media feeds,Utilizing Time for Knowledge Development,81,84
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,24,37
Playing a video game,Utilizing Time for Knowledge Development,26,44
Taking notes from a lecture video,Utilizing Time for Knowledge Development,25,67
Watching TV shows,Utilizing Time for Knowledge Development,41,42
Online shopping,Utilizing Time for Knowledge Development,57,11
Writing an essay for a class assignment,Wasting Time,16,65
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,11,100
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,53,18
Browsing Wikipedia for history facts,Wasting Time,29,90
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,35,5
Online shopping,Utilizing Time for Knowledge Development,65,50
Playing a video game,Wasting Time,50,11
Checking email,Utilizing Time for Knowledge Development,46,22
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,82,67
Participating in a group discussion on the course forum,Wasting Time,47,17
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,111,50
Participating in an online quiz,Wasting Time,51,21
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,94,34
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,103,76
Coding a personal project,Utilizing Time for Knowledge Development,6,100
Browsing Wikipedia for history facts,Wasting Time,82,55
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,70,7
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,86,23
Playing a video game,Utilizing Time for Knowledge Development,53,93
Participating in an online quiz,Utilizing Time for Knowledge Development,30,15
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,12,6
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,95,58
Playing a video game,Wasting Time,29,63
Participating in an online quiz,Wasting Time,6,56
Watching TV shows,Utilizing Time for Knowledge Development,104,93
Taking notes from a lecture video,Utilizing Time for Knowledge Development,17,44
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,84,97
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,9,62
Online shopping,Utilizing Time for Knowledge Development,62,30
Reading a scientific research paper,Wasting Time,9,7
Coding a personal project,Utilizing Time for Knowledge Development,69,97
Participating in an online quiz,Utilizing Time for Knowledge Development,94,10
Playing online crossword puzzles,Wasting Time,92,30
Reviewing course lecture slides,Utilizing Time for Knowledge Development,68,92
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,57,56
Listening to an audiobook on a relevant topic,Wasting Time,113,74
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,117,2
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,35,57
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,70,64
Participating in an online quiz,Utilizing Time for Knowledge Development,21,66
Reading a scientific research paper,Utilizing Time for Knowledge Development,116,71
Reading a scientific research paper,Utilizing Time for Knowledge Development,80,46
Watching TV shows,Utilizing Time for Knowledge Development,35,15
Playing a video game,Utilizing Time for Knowledge Development,108,80
Online shopping,Utilizing Time for Knowledge Development,60,99
Playing a video game,Wasting Time,30,1
Listening to an audiobook on a relevant topic,Wasting Time,11,27
Checking email,Wasting Time,10,81
Reading a scientific research paper,Utilizing Time for Knowledge Development,104,85
Chatting with friends on messaging apps,Wasting Time,106,26
Reviewing course lecture slides,Utilizing Time for Knowledge Development,36,35
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,25,4
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,80,12
Watching cat videos on YouTube,Wasting Time,69,67
Online shopping,Wasting Time,86,40
Chatting with friends on messaging apps,Wasting Time,109,61
Taking notes from a lecture video,Utilizing Time for Knowledge Development,70,89
Coding a personal project,Utilizing Time for Knowledge Development,31,21
Playing a video game,Utilizing Time for Knowledge Development,29,72
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,52,13
Scrolling through social media feeds,Utilizing Time for Knowledge Development,110,49
Solving programming exercises,Utilizing Time for Knowledge Development,9,57
Participating in an online quiz,Utilizing Time for Knowledge Development,31,21
Reviewing course lecture slides,Utilizing Time for Knowledge Development,53,56
Solving programming exercises,Utilizing Time for Knowledge Development,7,72
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,53,25
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,98,20
Taking notes from a lecture video,Utilizing Time for Knowledge Development,119,78
Watching TV shows,Utilizing Time for Knowledge Development,88,41
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,114,81
Playing a video game,Utilizing Time for Knowledge Development,62,8
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,22,17
Watching cat videos on YouTube,Wasting Time,36,7
Reading a scientific research paper,Wasting Time,102,84
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,73,17
Online shopping,Utilizing Time for Knowledge Development,44,75
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,88,27
Scrolling through social media feeds,Utilizing Time for Knowledge Development,49,18
Reading a scientific research paper,Wasting Time,70,91
Reviewing course lecture slides,Utilizing Time for Knowledge Development,10,37
Playing a video game,Wasting Time,5,26
Chatting with friends on messaging apps,Wasting Time,12,35
Watching Khan Academy math tutorial,Utilizing Time for Knowledge Development,38,97
Checking email,Wasting Time,68,25
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,53,48
Reviewing course lecture slides,Utilizing Time for Knowledge Development,83,93
Taking notes from a lecture video,Wasting Time,64,86
Reviewing course lecture slides,Utilizing Time for Knowledge Development,69,6
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,116,36
Writing an essay for a class assignment,Utilizing Time for Knowledge Development,90,67
Browsing Wikipedia for history facts,Wasting Time,117,11
Participating in a group discussion on the course forum,Wasting Time,92,18
Watching Khan Academy math tutorial,Wasting Time,16,49
Scrolling through social media feeds,Utilizing Time for Knowledge Development,102,11
Reading a scientific research paper,Utilizing Time for Knowledge Development,85,91
Playing a video game,Wasting Time,81,59
Taking notes from a lecture video,Wasting Time,27,50
Watching Khan Academy math tutorial,Wasting Time,84,46
Solving programming exercises,Utilizing Time for Knowledge Development,86,14
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,68,47
Solving programming exercises,Utilizing Time for Knowledge Development,93,46
Participating in an online quiz,Utilizing Time for Knowledge Development,106,45
Listening to an audiobook on a relevant topic,Wasting Time,31,83
Writing an essay for a class assignment,Wasting Time,66,67
Solving programming exercises,Utilizing Time for Knowledge Development,58,1
Participating in an online quiz,Utilizing Time for Knowledge Development,14,33
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,91,65
Reading a scientific research paper,Utilizing Time for Knowledge Development,20,88
Reading a scientific research paper,Utilizing Time for Knowledge Development,99,34
Participating in an online quiz,Utilizing Time for Knowledge Development,95,7
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,34,89
Playing a video game,Utilizing Time for Knowledge Development,84,12
Participating in an online quiz,Utilizing Time for Knowledge Development,96,75
Chatting with friends on messaging apps,Wasting Time,70,95
Reviewing course lecture slides,Wasting Time,74,49
Browsing Wikipedia for history facts,Utilizing Time for Knowledge Development,77,1
Watching TV shows,Utilizing Time for Knowledge Development,97,51
Playing online crossword puzzles,Utilizing Time for Knowledge Development,72,44
Reviewing course lecture slides,Utilizing Time for Knowledge Development,115,57
Solving programming exercises,Utilizing Time for Knowledge Development,29,12
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,55,2
Coding a personal project,Wasting Time,48,100
Taking notes from a lecture video,Wasting Time,6,5
Chatting with friends on messaging apps,Utilizing Time for Knowledge Development,107,39
Watching TV shows,Wasting Time,67,41
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,44,69
Coding a personal project,Utilizing Time for Knowledge Development,83,82
Listening to an audiobook on a relevant topic,Utilizing Time for Knowledge Development,98,75
Participating in an online quiz,Utilizing Time for Knowledge Development,46,38
Coding a personal project,Wasting Time,107,97
Watching TV shows,Utilizing Time for Knowledge Development,69,31
Reading a scientific research paper,Utilizing Time for Knowledge Development,41,60
Checking email,Utilizing Time for Knowledge Development,57,64
Playing online crossword puzzles,Utilizing Time for Knowledge Development,54,50
Participating in a group discussion on the course forum,Utilizing Time for Knowledge Development,36,25
Coding a personal project,Utilizing Time for Knowledge Development,31,75
Watching cat videos on YouTube,Utilizing Time for Knowledge Development,94,46
